time,open,high,low,close,tick_volume,spread,real_volume
1205193600,973.3,985.4,964.73,973.05,27533,0,0
1205280000,972.95,983.75,968.1,983.25,21771,0,0
1205366400,983.35,999.7,981.45,995.25,25993,0,0
1205452800,995.58,1007.0,990.58,1002.75,16781,0,0
1205625600,1002.25,1002.25,1002.25,1002.25,1,0,0
1205712000,1002.98,1032.6,994.0,1002.4,22454,0,0
1205798400,1002.53,1012.1,976.5,982.15,24950,0,0
1205884800,982.7,997.35,937.7,943.45,24972,0,0
1205971200,938.43,943.65,904.48,909.2,23274,0,0
1206057600,909.5,921.5,909.5,917.46,46,0,0
1206316800,915.5,926.84,906.28,915.15,19296,0,0
1206403200,915.03,938.83,911.7,938.2,24609,0,0
1206489600,938.65,954.85,934.45,954.15,22407,0,0
1206576000,954.2,954.93,940.32,947.4,21077,0,0
1206662400,947.33,950.93,923.1,931.2,19783,0,0
1206921600,930.35,940.85,912.43,916.1,22418,0,0
1207008000,916.2,920.9,872.1,882.3,26361,0,0
1207094400,882.22,906.03,881.1,904.28,28008,0,0
1207180800,904.23,908.85,887.95,903.28,24007,0,0
1207267200,902.98,914.6,899.27,913.55,19580,0,0
1207526400,912.85,929.35,910.65,919.55,21461,0,0
1207612800,919.63,925.68,907.75,914.63,21921,0,0
1207699200,914.53,935.55,902.75,933.8,22638,0,0
1207785600,933.95,939.65,921.83,928.63,24222,0,0
1207872000,928.65,932.08,917.3,924.85,21569,0,0
1208131200,925.25,931.9,914.1,923.93,22736,0,0
1208217600,923.9,936.33,922.78,927.8,19845,0,0
1208304000,927.79,949.03,924.4,944.4,20667,0,0
1208390400,944.47,952.8,937.28,938.55,20990,0,0
1208476800,938.58,946.55,904.63,916.3,20606,0,0
1208736000,916.0,928.68,911.05,916.78,22122,0,0
1208822400,916.58,925.4,911.63,915.75,22547,0,0
1208908800,916.05,922.78,896.9,904.18,21974,0,0
1208995200,903.83,907.0,883.13,885.95,22693,0,0
1209081600,886.0,896.4,877.7,886.05,23027,0,0
1209340800,886.0,895.78,886.0,893.2,20617,0,0
1209427200,893.01,893.58,868.55,870.28,20358,0,0
1209513600,870.33,878.63,862.38,877.43,26042,0,0
1209600000,877.1,881.7,847.3,852.58,26399,0,0
1209686400,852.65,859.2,845.05,855.98,23612,0,0
1209945600,856.05,874.38,854.88,874.13,18625,0,0
1210032000,874.05,882.83,871.18,876.18,20299,0,0
1210118400,876.13,881.12,863.59,868.7,23487,0,0
1210204800,868.72,885.47,865.35,881.68,25060,0,0
1210291200,881.72,889.6,870.35,884.45,22475,0,0
1210550400,884.55,889.75,877.78,882.47,24697,0,0
1210636800,882.53,885.58,860.75,866.95,20099,0,0
1210723200,866.84,870.95,859.6,864.11,23393,0,0
1210809600,864.2,887.65,862.1,881.9,22950,0,0
